,user_id,order_cnt,order_amt,order_month,last_order,order_mcnts,order_mamt,order_pamt,RFM_tag,RFM_level,order_cnt_prd,order_amt_prd,last_order_prd,order_mcnts_prd,order_mamt_prd,order_pamt_prd,RFM_tag_prd,RFM_level_prd
458,570064045140150,2,50,1,103,2.0,50.0,25.0,一般挽留客户,1,2.0,50.0,103.0,2.0,50.0,25.0,一般挽留客户,1.0
459,570060151000111,5,109,1,103,5.0,109.0,21.8,一般保持客户,2,,,,,,,,
460,570059634920100,8,189,1,100,8.0,189.0,23.625,一般保持客户,2,5.0,118.0,103.0,5.0,118.0,23.6,一般保持客户,2.0
461,570066859080126,5,176,1,103,5.0,176.0,35.2,一般保持客户,2,,,,,,,,
462,570068275670142,3,166,1,103,3.0,166.0,55.333333333333336,一般保持客户,2,,,,,,,,
463,570024182270101,5,416,2,77,2.5,208.0,83.2,重要价值客户,8,,,,,,,,
464,570070255220115,2,301,1,103,2.0,301.0,150.5,重要挽留客户,5,,,,,,,,
465,570051646240134,2,44,1,103,2.0,44.0,22.0,一般挽留客户,1,2.0,44.0,103.0,2.0,44.0,22.0,一般挽留客户,1.0
466,570068989650144,3,132,1,103,3.0,132.0,44.0,一般保持客户,2,,,,,,,,
467,570064565620114,17,2,1,103,17.0,2.0,0.11764705882352941,一般保持客户,2,17.0,2.0,103.0,17.0,2.0,0.11764705882352941,一般保持客户,2.0
468,570070498820154,3,48,1,102,3.0,48.0,16.0,一般保持客户,2,,,,,,,,
469,570069865440158,3,103,1,102,3.0,103.0,34.333333333333336,一般保持客户,2,,,,,,,,
470,570064234800139,9,303,3,46,3.0,101.0,33.666666666666664,重要价值客户,8,8.0,214.0,80.0,4.0,107.0,26.75,重要保持客户,7.0
